                  20170515 洛阳钼业 (603993)
 时间	    价格	    成交	笔数	
10:16	    4.21	    1208	0	B	
10:16	    4.20	       4	0	S	
10:16	    4.20	       4	0	S	
10:16	    4.20	       5	0	S	
10:16	    4.20	      13	0	S	
10:16	    4.21	       2	0	B	
10:17	    4.21	      41	0	B	
10:17	    4.20	      93	0	S	
10:17	    4.20	       1	0	S	
10:17	    4.20	       6	0	S	
10:17	    4.20	      43	0	S	
10:17	    4.21	       2	0	B	
10:17	    4.20	     201	0	S	
10:17	    4.21	       3	0	B	
10:17	    4.21	     368	0	B	
10:17	    4.21	      18	0	B	
10:17	    4.21	       2	0	B	
10:17	    4.21	       1	0	B	
10:17	    4.20	      17	0	S	
10:17	    4.20	       1	0	S	
10:17	    4.21	      12	0	B	
10:18	    4.21	      14	0	B	
